full_geoid,state,name,wiki_url
05000US06061,CA,Placer County,"https://en.wikipedia.org/wiki/Placer_County,_California"
05000US06063,CA,Plumas County,"https://en.wikipedia.org/wiki/Plumas_County,_California"
05000US06065,CA,Riverside County,"https://en.wikipedia.org/wiki/Riverside_County,_California"
05000US06067,CA,Sacramento County,"https://en.wikipedia.org/wiki/Sacramento_County,_California"
05000US06069,CA,San Benito County,"https://en.wikipedia.org/wiki/San_Benito_County,_California"
05000US06071,CA,San Bernardino County,"https://en.wikipedia.org/wiki/San_Bernardino_County,_California"
05000US06073,CA,San Diego County,"https://en.wikipedia.org/wiki/San_Diego_County,_California"
05000US06075,CA,San Francisco County,https://en.wikipedia.org/wiki/San_Francisco
05000US06077,CA,San Joaquin County,"https://en.wikipedia.org/wiki/San_Joaquin_County,_California"
05000US06079,CA,San Luis Obispo County,"https://en.wikipedia.org/wiki/San_Luis_Obispo_County,_California"
05000US06081,CA,San Mateo County,"https://en.wikipedia.org/wiki/San_Mateo_County,_California"
05000US06083,CA,Santa Barbara County,"https://en.wikipedia.org/wiki/Santa_Barbara_County,_California"
05000US06085,CA,Santa Clara County,"https://en.wikipedia.org/wiki/Santa_Clara_County,_California"
05000US06087,CA,Santa Cruz County,"https://en.wikipedia.org/wiki/Santa_Cruz_County,_California"
05000US06089,CA,Shasta County,"https://en.wikipedia.org/wiki/Shasta_County,_California"
05000US06091,CA,Sierra County,"https://en.wikipedia.org/wiki/Sierra_County,_California"
05000US06093,CA,Siskiyou County,"https://en.wikipedia.org/wiki/Siskiyou_County,_California"
05000US06095,CA,Solano County,"https://en.wikipedia.org/wiki/Solano_County,_California"
05000US06097,CA,Sonoma County,"https://en.wikipedia.org/wiki/Sonoma_County,_California"
05000US06099,CA,Stanislaus County,"https://en.wikipedia.org/wiki/Stanislaus_County,_California"
05000US06101,CA,Sutter County,"https://en.wikipedia.org/wiki/Sutter_County,_California"
05000US06103,CA,Tehama County,"https://en.wikipedia.org/wiki/Tehama_County,_California"
05000US06105,CA,Trinity County,"https://en.wikipedia.org/wiki/Trinity_County,_California"
05000US06107,CA,Tulare County,"https://en.wikipedia.org/wiki/Tulare_County,_California"
05000US06109,CA,Tuolumne County,"https://en.wikipedia.org/wiki/Tuolumne_County,_California"
05000US06111,CA,Ventura County,"https://en.wikipedia.org/wiki/Ventura_County,_California"
05000US06113,CA,Yolo County,"https://en.wikipedia.org/wiki/Yolo_County,_California"
05000US06115,CA,Yuba County,"https://en.wikipedia.org/wiki/Yuba_County,_California"
05000US08001,CO,Adams County,"https://en.wikipedia.org/wiki/Adams_County,_Colorado"
05000US08003,CO,Alamosa County,"https://en.wikipedia.org/wiki/Alamosa_County,_Colorado"
05000US08005,CO,Arapahoe County,"https://en.wikipedia.org/wiki/Arapahoe_County,_Colorado"
05000US08007,CO,Archuleta County,"https://en.wikipedia.org/wiki/Archuleta_County,_Colorado"
05000US08009,CO,Baca County,"https://en.wikipedia.org/wiki/Baca_County,_Colorado"
05000US08011,CO,Bent County,"https://en.wikipedia.org/wiki/Bent_County,_Colorado"
05000US08013,CO,Boulder County,"https://en.wikipedia.org/wiki/Boulder_County,_Colorado"
05000US08014,CO,Broomfield County,"https://en.wikipedia.org/wiki/Broomfield,_Colorado"
05000US08015,CO,Chaffee County,"https://en.wikipedia.org/wiki/Chaffee_County,_Colorado"
05000US08017,CO,Cheyenne County,"https://en.wikipedia.org/wiki/Cheyenne_County,_Colorado"
05000US08019,CO,Clear Creek County,"https://en.wikipedia.org/wiki/Clear_Creek_County,_Colorado"
05000US08021,CO,Conejos County,"https://en.wikipedia.org/wiki/Conejos_County,_Colorado"
05000US08023,CO,Costilla County,"https://en.wikipedia.org/wiki/Costilla_County,_Colorado"
05000US08025,CO,Crowley County,"https://en.wikipedia.org/wiki/Crowley_County,_Colorado"
05000US08027,CO,Custer County,"https://en.wikipedia.org/wiki/Custer_County,_Colorado"
05000US08029,CO,Delta County,"https://en.wikipedia.org/wiki/Delta_County,_Colorado"
05000US08031,CO,Denver County,https://en.wikipedia.org/wiki/Denver
05000US08033,CO,Dolores County,"https://en.wikipedia.org/wiki/Dolores_County,_Colorado"
05000US08035,CO,Douglas County,"https://en.wikipedia.org/wiki/Douglas_County,_Colorado"
05000US08037,CO,Eagle County,"https://en.wikipedia.org/wiki/Eagle_County,_Colorado"
05000US08039,CO,Elbert County,"https://en.wikipedia.org/wiki/Elbert_County,_Colorado"
05000US08041,CO,El Paso County,"https://en.wikipedia.org/wiki/El_Paso_County,_Colorado"
05000US08043,CO,Fremont County,"https://en.wikipedia.org/wiki/Fremont_County,_Colorado"
05000US08045,CO,Garfield County,"https://en.wikipedia.org/wiki/Garfield_County,_Colorado"
05000US08047,CO,Gilpin County,"https://en.wikipedia.org/wiki/Gilpin_County,_Colorado"
05000US08049,CO,Grand County,"https://en.wikipedia.org/wiki/Grand_County,_Colorado"
05000US08051,CO,Gunnison County,"https://en.wikipedia.org/wiki/Gunnison_County,_Colorado"
05000US08053,CO,Hinsdale County,"https://en.wikipedia.org/wiki/Hinsdale_County,_Colorado"
05000US08055,CO,Huerfano County,"https://en.wikipedia.org/wiki/Huerfano_County,_Colorado"
05000US08057,CO,Jackson County,"https://en.wikipedia.org/wiki/Jackson_County,_Colorado"
05000US08059,CO,Jefferson County,"https://en.wikipedia.org/wiki/Jefferson_County,_Colorado"
05000US08061,CO,Kiowa County,"https://en.wikipedia.org/wiki/Kiowa_County,_Colorado"
05000US08063,CO,Kit Carson County,"https://en.wikipedia.org/wiki/Kit_Carson_County,_Colorado"
05000US08065,CO,Lake County,"https://en.wikipedia.org/wiki/Lake_County,_Colorado"
05000US08067,CO,La Plata County,"https://en.wikipedia.org/wiki/La_Plata_County,_Colorado"
05000US08069,CO,Larimer County,"https://en.wikipedia.org/wiki/Larimer_County,_Colorado"
05000US08071,CO,Las Animas County,"https://en.wikipedia.org/wiki/Las_Animas_County,_Colorado"
05000US08073,CO,Lincoln County,"https://en.wikipedia.org/wiki/Lincoln_County,_Colorado"
